source_id	type	system	version	path	status	priority	description
SRC-PLAYOS-VULKAN	architecture	PlayOS Vulkan stack	2026-08-26	VULKAN_NO_PLAYOS_GRAPHICS_CORE.md	current	critical	Loader ICDs Mesa WSI X11 Wayland diagnóstico segurança perfis e gates Vulkan no Graphics Core
SRC-PLAYOS-LIVE-CALAMARES-NODE	implementation-report	PlayOS Noble Calamares	2026-08-27	LIVE_ISO_NOBLE_GRAPHICS_CORE_CALAMARES_2026-08-27.md	current	critical	Integração e gates do Calamares independente do desktop da Live
SRC-PLAYOS-LIVE-XFCE-CORE	implementation-report	PlayOS Noble XFCE	2026-08-27	LIVE_ISO_NOBLE_XFCE_SOBRE_GRAPHICS_CORE_2026-08-27.md	current	critical	XFCE 4.18 na Live sobre Graphics Core neutro sem GNOME KDE ou XFCE embutido
SRC-PLAYOS-INSTALLER-COMPARE	comparative-analysis	Calamares/Anaconda	2026-08-27	COMPARACAO_CALAMARES_ANACONDA_PLAYOS_2026-08-27.md	current	critical	Comparação de instaladores para Noble XFCE SquashFS DEB e cenários RPM empresariais
SRC-PLAYOS-CALAMARES-DESKTOP-PROVISION	comparative-analysis	Calamares/Ubuntu Desktop Provision	2026-08-27	COMPARACAO_CALAMARES_DESKTOP_PROVISION_PLAYOS_2026-08-27.md	current	critical	Comparação do MVP Calamares com a rota Ubuntu Subiquity Curtin Casper e primeiro boot provd
SRC-PLAYOS-FIRST-ISO-PLAN	implementation-plan	PlayOS Noble XFCE Calamares	2026-08-28	PLANO_IMPLEMENTACAO_PRIMEIRA_ISO_NOBLE_XFCE_CALAMARES.md	current	critical	Plano completo de build fontes online locais pacotes artefatos e gates da primeira ISO
SRC-PLAYOS-LIVE-GNOME-CALAMARES	implementation-report	PlayOS Noble GNOME Calamares	2026-08-31	LIVE_ISO_NOBLE_GNOME_CALAMARES_2026-08-31.md	current	critical	Perfil separado que troca XFCE e LightDM por GNOME e GDM3 preservando Noble Graphics Core e Calamares
SRC-PLAYOS-LIVE-XFCE-INVENTORY	audit	PlayOS Noble XFCE Calamares	2026-08-31	INVENTARIO_LIVE_CD_XFCE_CALAMARES_2026-08-31.md	current	critical	Inventário categorizado dos 1110 pacotes e distinção entre manifesto histórico e receita atual
SRC-PLAYOS-LIVE-XFCE-ONLY	implementation-report	PlayOS Noble XFCE Live-only	2026-08-31	LIVE_ISO_NOBLE_XFCE_SEM_INSTALADOR_2026-08-31.md	current	critical	Perfil Live-only sem Calamares Subiquity Curtin ou Casper
SRC-PLAYOS-NOBLE-KERNEL-DEBIAN	architecture-decision	PlayOS Noble kernel Debian userspace	2026-08-31	ARQUITETURA_PLAYOS_KERNEL_UBUNTU_NOBLE_USERSPACE_DEBIAN.md	current	critical	Kernel e módulos Ubuntu Noble isolados sobre userspace repositórios e pipeline Live Debian sem mistura de mirrors
SRC-PLAYOS-LIVE-DEBIAN-XFCE-NOBLE	implementation-report	PlayOS Debian Trixie XFCE Noble kernel	2026-09-03	LIVE_DEBIAN_TRIXIE_XFCE_KERNEL_NOBLE_SEM_CALAMARES.md	current	critical	Perfil Debian Live XFCE sem instalador derivado do manifesto histórico com kernel Noble local pendente
