document_id	path	area	role	status
DOC-027	RESULTADOS_ESTUDOS_FREEBSD15_SYS_KERN_2026-08-18.md	studies	result	current
DOC-028	RESUMO_DIA_2026-08-18.md	project	summary	historical
DOC-029	RESUMO_DO_CHAT.md	project	summary	historical
DOC-030	SELF_HEALING_STRATEGY.md	reliability	design	context
DOC-031	SONY_PLAYSTATION_FREEBSD.md	gaming	note	unverified-claims
DOC-032	TRANSPARENCIA_KERNEL.md	kernels	provenance	current
DOC-033	UBUNTU_FREEBSD_ORBIS_STEAMOS.md	gaming	proposal	context
DOC-034	VERIFICACAO_KERNEL_UBUNTU_RESOLUTE_2026-08-18.md	ubuntu	identity	current
DOC-035	ZFS_GAMING_ZONE.md	storage	proposal	experimental
DOC-036	freebsd-compatibility/COMPATIBILITY_MATRIX.md	compatibility	matrix	current
DOC-037	freebsd-compatibility/IMPLEMENTATION_PLAN.md	compatibility	plan	current
DOC-038	freebsd-compatibility/README.md	compatibility	architecture	current
DOC-039	kernel.md	kernels	overview	context
DOC-040	nitrocore/nitrocore.md	nitrocore	overview	experimental
DOC-041	patch-FreeBSD-Kernel-7.1.8/MANIFEST.md	linux-7.1.8	manifest	current
DOC-042	patch-FreeBSD-Kernel-7.1.8/README.md	linux-7.1.8	guide	current
DOC-043	patch-FreeBSD-Kernel-7.1.8/proposals/README.md	linux-7.1.8	proposal	current
DOC-044	patch-FreeBSD-Kernel-7.1.8/results/BUILD_PLAYOS_7.1.8_2026-08-18.md	linux-7.1.8	result	current
DOC-045	patch-FreeBSD-Kernel-7.1.8/results/VALIDACAO_2026-08-18.md	linux-7.1.8	result	current
DOC-046	patch-FreeBSD-Noble/MANIFEST.md	noble	manifest	current
DOC-047	patch-FreeBSD-Noble/README.md	noble	guide	current
DOC-048	patch-FreeBSD-Noble/ROADMAP.md	noble	plan	current
DOC-049	patch-FreeBSD-Noble/results/BUILD_6.8.4_PLAYOS_FREEBSD_LAB1_2026-08-18.md	noble	result	superseded-by-generic
DOC-050	patch-FreeBSD-Noble/results/BUILD_GENERIC_PROD_6.8.4_2026-08-18.md	noble	result	current
DOC-051	patch-FreeBSD-Noble/results/README.md	noble	index	current
DOC-052	patch-FreeBSD-Ubuntu/MANIFEST.md	ubuntu	manifest	historical
DOC-053	patch-FreeBSD-Ubuntu/README.md	ubuntu	guide	historical
DOC-054	patch-FreeBSD-Ubuntu/proposals/README.md	ubuntu	proposal	historical
DOC-055	patch-FreeBSD-Ubuntu/results/APLICACAO_INICIAL_6.8_2026-08-18.md	ubuntu	result	historical
DOC-056	patch-linux7.1.8-FreeBSD/ANALISE_COMPARATIVA.md	freebsd-reverse	analysis	current
DOC-057	patch-linux7.1.8-FreeBSD/INVENTARIO_FREEBSD_15.1_P2.md	freebsd	inventory	current
DOC-058	patch-linux7.1.8-FreeBSD/MANIFEST.md	freebsd-reverse	manifest	current
DOC-059	patch-linux7.1.8-FreeBSD/README.md	freebsd-reverse	guide	current
DOC-060	patch-linux7.1.8-FreeBSD/proposals/README.md	freebsd-reverse	proposal	current
DOC-061	patch-linux7.1.8-FreeBSD/results/VALIDACAO_2026-08-18.md	freebsd-reverse	result	current
DOC-062	resumo_instalacao_kde_freebsd.md	freebsd-desktop	note	context
DOC-063	studies/freebsd15_sys_kern/README.md	studies	index	current
DOC-064	supervised_learning/ANALISE_SYS_KERN_FREEBSD.md	freebsd	legacy-note	needs-migration
DOC-065	supervised_learning/APRENDIZAGEM_FREEBSD.md	freebsd	legacy-note	needs-migration
DOC-066	supervised_learning/ROADMAP_BSD_KNOWLEDGE.md	freebsd	roadmap	current
DOC-067	supervised_learning/knowledge/freebsd/subsystem-reference.md	freebsd	reference	current
DOC-068	supervised_learning/knowledge/bsd-family/glossary.md	bsd-family	glossary	current
DOC-069	supervised_learning/HTML_PORTAL_STATUS.md	documentation	result	current
DOC-070	documentation-portal/README.md	documentation	guide	current
DOC-071	AGENTS.md	ai-governance	instruction	current
DOC-072	patch-Linux7.1.8-Noble/README.md	noble-linux718	guide	current
DOC-073	patch-Linux7.1.8-Noble/MANIFEST.md	noble-linux718	manifest	current
DOC-074	patch-Linux7.1.8-Noble/results/VALIDACAO_NTSYNC_2026-08-19.md	noble-linux718	result	current
DOC-075	supervised_learning/knowledge/linux/ntsync-backport-noble.md	noble-linux718	knowledge	current
DOC-076	patch-Linux7.1.8-Noble/MIGRACAO_LINUX_7.1.8_PARA_PLAYOS_KERNEL.md	playos-kernel	plan	current
DOC-077	patch-Linux7.1.8-Noble/results/BUILD_PLAYOS_KERNEL1_2026-08-19.md	playos-kernel	result	current
DOC-078	supervised_learning/knowledge/linux/playos-kernel-migration.md	playos-kernel	knowledge	current
DOC-079	patch-Noble-PlayOS-Kernel-7.1.8/README.md	playos-kernel-718	guide	current
DOC-080	patch-Noble-PlayOS-Kernel-7.1.8/MANIFEST.md	playos-kernel-718	manifest	current
DOC-081	patch-Noble-PlayOS-Kernel-7.1.8/ANALISE_MIGRACAO_NOBLE_PARA_7.1.8.md	playos-kernel-718	audit	current
DOC-082	supervised_learning/knowledge/linux/playos-kernel-7.1.8.md	playos-kernel-718	knowledge	current
DOC-069	supervised_learning/knowledge/playos/iso-branding.md	playos	branding	current
DOC-070	INTEGRACAO_INSTALADOR_BRANDING.md	playos	installer-branding	current
DOC-071	supervised_learning/knowledge/playos/asset-identity.md	playos	branding-assets	current
DOC-072	build/manuals/RECONSTRUCAO_ROOTFS_BRANDING.md	build	manual-branding	current
DOC-073	supervised_learning/knowledge/playos/auto-metamorphosis.md	playos	auto-branding	current
DOC-074	build/manuals/ISO_CREATION_GUIDE.md	build	iso-creation-master-guide	current
DOC-075	build/manuals/PLAYOS_ISO_MASTER_GUIDE.md	build	iso-creation-definitive-guide	current
DOC-084	LIVE_CD_RESOLUTE_XFCE_MINIMAL_KNOPPIX.md	playos	live-iso-xfce-analysis	current
DOC-085	AUDITORIA_KERNEL_LOCAL_LIVE_RESOLUTE_XFCE_2026-08-26.md	kernels	live-local-kernel-audit	current
DOC-086	COMPARACAO_FEDORA_KNOPPIX_LIVE_XFCE_KERNEL_LOCAL_2026-08-26.md	playos	live-fedora-knoppix-comparison	current
DOC-087	ARQUITETURA_PLAYOS_GRAPHICS_KERNEL_STACK_2026-08-26.md	playos	graphics-kernel-stack-architecture	current
DOC-088	MANUAL_PLAYOS_GRAPHICS_KERNEL_STACK_X11_WAYLAND.md	playos	graphics-kernel-stack-manual	current
DOC-089	MEDICAO_TAMANHO_ISO_NOBLE_X11_WAYLAND_XFCE_2026-08-26.md	build	live-iso-size-measurement	current
DOC-090	PROJETO_SOFTWARE_UNICO_PLAYOS_GRAPHICS_PLATFORM.md	playos	graphics-unified-product	current
DOC-091	INICIALIZACAO_PLAYOS_GRAPHICS_PLATFORM.md	playos	graphics-platform-boot	current
DOC-092	ANALISE_SOFTWARE_FREEDESKTOP_PLAYOS_GRAPHICS_PLATFORM_2026-08-26.md	playos	freedesktop-software-analysis	current
DOC-093	MANUAL_COMPONENTES_BASE_PLAYOS_DESKTOP.md	playos	desktop-base-components-manual	current
DOC-094	ARQUITETURA_MULTI_DESKTOP_PLAYOS_XFCE_GNOME_KDE.md	playos	multi-desktop-architecture	current
DOC-095	KERNEL_GRAFICO_PLAYOS_SEM_DESKTOPS.md	kernels	graphics-kernel-without-desktops	current
DOC-096	PLAYOS_GRAPHICS_CORE_COMPLETO_SEM_DESKTOPS.md	playos	graphics-core-without-desktops	current
DOC-097	VULKAN_NO_PLAYOS_GRAPHICS_CORE.md	playos	vulkan-graphics-core	current
DOC-098	LIVE_ISO_NOBLE_GRAPHICS_CORE_CALAMARES_2026-08-27.md	build	live-calamares-without-desktops	current
DOC-099	LIVE_ISO_NOBLE_XFCE_SOBRE_GRAPHICS_CORE_2026-08-27.md	build	live-xfce-over-graphics-core	current
DOC-100	COMPARACAO_CALAMARES_ANACONDA_PLAYOS_2026-08-27.md	installer	calamares-anaconda-comparison	current
DOC-101	COMPARACAO_CALAMARES_DESKTOP_PROVISION_PLAYOS_2026-08-27.md	installer	calamares-desktop-provision-comparison	current
DOC-102	PLANO_IMPLEMENTACAO_PRIMEIRA_ISO_NOBLE_XFCE_CALAMARES.md	build	first-iso-implementation-plan	current
DOC-103	RECRIAR_PRIMEIRA_ISO_CALAMARES_XFCE.md	build	first-calamares-iso-rebuild-runbook	current
DOC-104	SOLUCAO_IMPEDIMENTOS_RECRIACAO_ISO_CALAMARES_XFCE.md	build	first-calamares-iso-blockers-solution	current
